customer_id,name,email,location,signup_date
201,Daniel Williamson,baxtertyler@gmail.com,Jessicahaven,2025-03-05
202,Tony Fisher,nunezmallory@parker-smith.com,New Andre,2024-11-06
203,Katrina Lyons,benjamin19@yahoo.com,Markstad,2025-03-01
204,Todd Byrd,blane@hernandez-hall.com,Joelborough,2025-06-22
205,Erin Sanders,andreamcdaniel@nelson-castro.org,Port Richardmouth,2025-04-24
206,Jared Ellison,fsmith@gmail.com,Lake Stephanieberg,2024-10-14
207,Breanna Kemp,jvaldez@hotmail.com,Danielshire,2025-01-24
208,Thomas Spencer,byrdjeremiah@gmail.com,Lake Danielview,2024-07-08
209,Karen Terry,ewilson@williams.info,West Jimmychester,2025-03-30
210,Christian Hill,ronaldyoung@gmail.com,Dillonborough,2024-11-14
26,Christopher Long,russelllee@morton-moore.com,Knappview,2024-08-26
49,Tonya Ellis,norrissteven@hotmail.com,Port Codystad,2024-07-13
74,Stephanie Becker,theresahorton@hotmail.com,East Dennis,2025-02-19
195,Logan Mata,patrick48@yahoo.com,Lake Marvinland,2025-01-12
58,Samantha Bell,ryanatkins@hotmail.com,Johnville,2024-08-20
